dataset,seed,label_fraction,k,sigma_mf,sigma_rule,beta,acc_supervised_hybrid,acc_raw_space_lp,acc_mv_grf_late,acc_fap_late
load_K_chess_data_splitted,42,0.1,7,0.3,0.5,0.7,0.38018296305096827,0.4149934656053226,0.3066413211357966,0.3079482000712843
load_K_chess_data_splitted,42,0.1,15,0.5,0.7,0.5,0.38018296305096827,0.39954853273137697,0.32232386836164906,0.3155518593323037
load_htru_data,42,0.1,7,0.3,0.5,0.7,0.44,0.47333333333333333,0.4876923076923077,0.4707692307692308
load_htru_data,42,0.1,15,0.5,0.7,0.5,0.44,0.47794871794871796,0.46205128205128204,0.4635897435897436
load_letter_data,42,0.1,7,0.3,0.5,0.7,0.7501666666666666,0.8281666666666667,0.7085,0.6546666666666666
load_letter_data,42,0.1,15,0.5,0.7,0.5,0.7501666666666666,0.789,0.6441666666666667,0.609
load_pmd_data,42,0.1,7,0.3,0.5,0.7,0.9263208772618796,0.07367912273812041,0.9198864151285382,0.9183759780080355
load_pmd_data,42,0.1,15,0.5,0.7,0.5,0.9263208772618796,0.7040147418662961,0.9263208772618796,0.9245385614596864
