dataset,seed,label_fraction,k,sigma,beta,acc_supervised,acc_raw_space_lp,acc_rule_space_grf,acc_mf_space_grf,acc_mv_grf,acc_fmv_clp
load_K_chess_data_splitted,42,0.1,7,0.5,0.5,0.43554710704526556,0.4149934656053226,0.3742426042532969,0.3999049542592373,0.38944992277533563,0.37566829036473803
load_K_chess_data_splitted,42,0.1,15,0.3,0.5,0.43554710704526556,0.39954853273137697,0.37614351906855176,0.3957467031008673,0.3914696447665439,0.36877747415943923
load_htru_data,42,0.1,7,0.5,0.5,0.48102564102564105,0.47333333333333333,0.5025641025641026,0.5082051282051282,0.5117948717948718,0.43025641025641026
load_htru_data,42,0.1,15,0.3,0.5,0.48102564102564105,0.47794871794871796,0.5128205128205128,0.521025641025641,0.517948717948718,0.41846153846153844
