dataset,seed,label_fraction,k,sigma_mf,sigma_rule,beta,acc_supervised_hybrid,acc_raw_space_lp,acc_mv_grf_late,acc_fap_late
load_K_chess_data_splitted,42,0.1,7,0.3,0.5,0.7,0.37994534869906144,0.4149934656053226,0.3020078412736129,0.3060472852560295
load_K_chess_data_splitted,42,0.1,15,0.5,0.7,0.5,0.37994534869906144,0.39954853273137697,0.3198289176666271,0.3129381014613283
load_htru_data,42,0.1,7,0.3,0.5,0.7,0.4276923076923077,0.47333333333333333,0.4805128205128205,0.5
load_htru_data,42,0.1,15,0.5,0.7,0.5,0.4276923076923077,0.47794871794871796,0.48205128205128206,0.47846153846153844
